Tribe,Face_shape,Eye_shape,Nose,Mouth_shape,Scarification_style,Decorative_elements,Color_palette,Symbolic_features,Overall_size,Material,Surface_texture,Additional_ornamentation
Bambara / Bamana,Elongated,Slit,Thin,Absent,Geometric,Elaborate,Natural wood,Animal features,Large,Wood,Smooth,Geometric
Boki ,Heart-shaped,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular
Bozo,Elongated,Slit,Beak-like,Absent,Absent,Elaborate,Natural wood,Animal features,Large,Wood,Smooth,Geometric
Dogon ,Rectangular,Small,Beak-like,Closed,Absent,Elaborate,Vibrant,Animal features,Large,Wood,Smooth,Geometric
Malinke,Oval,Large,Wide,Open,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear
Touaregs / Tuareg,Asymmetrical,Protruding,Wide,Grimacing,Absent,Absent,Natural wood,Symbolic objects,Medium,Wood,Rough,Absent
Makua,Oval,Slit,Thin,Small closed,Raised,Absent,Natural wood,None,Medium,Wood,Smooth,Absent
Makua ,Oval,Slit,Thin,Small closed,Raised,Absent,Natural wood,None,Medium,Wood,Smooth,Absent
Markha ,Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Earth tones,None,Medium,Wood,Rough,Linear
 Nago Yoruba,Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Natural wood,None,Medium,Wood,Smooth,Geometric
Boki,Heart-shaped,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular
"Chamba / Tshomba",Elongated,Slit,Beak-like,Absent,Absent,Elaborate,Vibrant,Animal features,Large,Wood,Smooth,Geometric
Eket ,Oval,Slit,Thin,Small closed,Geometric,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear
"Ekoi / Ejagham",Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Rough,Geometric
Ekpo ,Asymmetrical,Protruding,Wide,Grimacing,Absent,Absent,Black and white,Symbolic objects,Medium,Wood,Rough,Absent
Hausa calao ,Elongated,Slit,Beak-like,Absent,Absent,Elaborate,Vibrant,Animal features,Large,Metal,Smooth,Geometric
Ibibio,Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent
Ibibio ,Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent
"Idjo / Ijaw",Oval,Large,Wide,Open,Absent,Absent,Natural wood,Animal features,Medium,Wood,Smooth,Absent
Idoma ,Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular
Igala ,Oval,Large,Wide,Open,Linear,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Smooth,Linear
Igbo ,Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular
Itsoko ,Oval,Slit,Thin,Small closed,Tribal-specific,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear
Jukun / Takum,Oval,Large,Wide,Open,Tribal-specific,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Smooth,Circular
"Jukun / Takum",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Smooth,Circular
Mama/Kantana,Round,Large,Wide,Open,Absent,Simple cap,Earth tones,None,Small,Wood,Rough,Linear
Mumuye,Asymmetrical,Protruding,Wide,Grimacing,Absent,Absent,Black and white,Symbolic objects,Medium,Wood,Rough,Absent
Mumuye ,Asymmetrical,Protruding,Wide,Grimacing,Absent,Absent,Black and white,Symbolic objects,Medium,Wood,Rough,Absent
Nuppe / Nupe,Oval,Large,Wide,Open,Geometric,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Smooth,Geometric
Ogoni / Ogboni,Round,Large,Wide,Open,Tribal-specific,Absent,Vibrant,None,Medium,Wood,Smooth,Circular
Tiv,Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear
"Urhobo / Orubo",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric
 Boyo,Oval,Large,Wide,Open,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear
Bambole,Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent
Bembe / Babembe,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear
Boa,Rectangular,Small,Thin,Absent,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric
Ding / Tukongo,Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Natural wood,None,Medium,Wood,Smooth,Geometric
Hemba,Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric
Holo / Baholo,Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric
Kaniok / Bena Kanioka,Round,Small,Absent,Absent,Absent,Absent,Earth tones,None,Small,Wood,Rough,Absent
Komo / Kumu,Elongated,Slit,Thin,Absent,Geometric,Elaborate,Natural wood,Animal features,Large,Wood,Smooth,Geometric
Konda,Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Geometric
Kongo / Bakongo,Oval,Slit,Thin,Small closed,Linear,Elaborate,Natural wood,None,Medium,Wood,Smooth,Linear
Kongo / Woyo,Oval,Large,Wide,Open,Geometric,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Smooth,Geometric
"Kongo / Yombe",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric
Kouyou ,Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Rough,Linear
"Kuba / Bakuba",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric
Kuba / Binji,Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric
Kuba / Biombo,Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric
"Kuba / Biombo",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric
Kuba / Bushoong,Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Earth tones,None,Medium,Wood,Rough,Linear
Kuba / Kaniok,Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Rough,Linear
Kuba / Kete,Oval,Large,Wide,Open,Geometric,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Geometric
"Kuba / Ngeende",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Smooth,Circular
Kwese / Ba-Kwese,Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,None,Medium,Wood,Smooth,Geometric
Lega / Balega,Elongated,Slit,Thin,Absent,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Smooth,Geometric
"Lega / Balega",Elongated,Slit,Thin,Absent,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Smooth,Geometric
Lele / Bashilele,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear
Lengola,Oval,Slit,Thin,Small closed,Raised,Absent,Natural wood,None,Medium,Wood,Smooth,Absent
Luba / Baluba,Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent
"Luba / Baluba",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent
Lulua / Luluw,Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Geometric
Lulua / Luluwa,Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Geometric
Lwalwa / Balwalwa,Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular
Mbala / BaMbala,Oval,Slit,Thin,Small closed,Geometric,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear
Mbangani,Oval,Large,Wide,Open,Linear,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Linear
Metoko,Oval,Slit,Thin,Small closed,Raised,Absent,Natural wood,None,Medium,Wood,Smooth,Absent
Ngbaka / Bwaka,Oval,Large,Wide,Open,Geometric,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Geometric
Nkanu,Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Natural wood,None,Medium,Wood,Smooth,Geometric
"Pende / Bapende",Oval,Large,Wide,Open,Linear,Elaborate,Natural wood,Beads/cowries,Medium,Wood,Smooth,Linear
Salampasu,Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Metal attachments,Large,Wood,Rough,Geometric
Salampasu / Basalampasu,Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Metal attachments,Large,Wood,Rough,Geometric
"Salampasu / Basalampasu",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Metal attachments,Large,Wood,Rough,Geometric
Songola,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear
"Songye / Basongje",Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear
Suku / Basuku,Elongated,Slit,Beak-like,Absent,Absent,Elaborate,Natural wood,Animal features,Large,Wood,Smooth,Geometric
"Suku / Basuku",Elongated,Slit,Beak-like,Absent,Absent,Elaborate,Natural wood,Animal features,Large,Wood,Smooth,Geometric
Tabwa / Batabwa,Oval,Slit,Thin,Small closed,Raised,Absent,Natural wood,None,Medium,Wood,Smooth,Absent
Teke / Tsayi,Oval,Large,Thin,Small closed,Linear,Elaborate,Natural wood,None,Medium,Wood,Smooth,Geometric
Yaka,Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric
Yela / Tetela,Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Earth tones,None,Medium,Wood,Rough,Linear
"Zande / Azande",Elongated,Slit,Thin,Absent,Geometric,Elaborate,Natural wood,Animal features,Large,Wood,Smooth,Geometric
 Mende,Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Earth tones,None,Medium,Wood,Rough,Linear
Limba,Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Earth tones,None,Medium,Wood,Rough,Linear
Hehe,Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular
Iraqw,Oval,Slit,Thin,Small closed,Tribal-specific,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear
Konde / Nyakyusa,Oval,Large,Wide,Open,Linear,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Linear
Kwavi / Kwafi,Oval,Slit,Thin,Small closed,Tribal-specific,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear
Makonde / Wamakonde,Elongated,Slit,Absent,Absent,Geometric,Elaborate,Earth tones,None,Medium,Wood,Smooth,Geometric
"Makonde / Wamakonde",Elongated,Slit,Absent,Absent,Geometric,Elaborate,Earth tones,None,Medium,Wood,Smooth,Geometric
Mwera,Oval,Large,Wide,Open,Tribal-specific,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Smooth,Circular
Nyamwezi,Oval,Slit,Thin,Small closed,Tribal-specific,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear
Nyamwezi ,Oval,Slit,Thin,Small closed,Tribal-specific,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear
Sukuma,Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear
Ziba / Haya,Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular
 Kalundwe,Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular
