Tribe,Country,Image,Description,Face shape:,Eye shape and size:,Nose shape:,Mouth shape:,Presence and style of scarification or tattoos:,Presence and type of headdress or hair representation:,Color palette used:,Presence of additional elements:,Overall size and proportions:,Material used:,Surface texture:,Presence and style of geometric patterns:,
Dogon ,Mali,http://www.tribal-art-gallery.com/tribal-art-pictures/24902/69135501-e6e7-460f-91a7-96d31286f0d6/Masque-Dogon-Art-Africain_hqth.jpg,"Le peuple Dogon du Mali est réputé pour sa cosmologie complexe et ses connaissances astronomiques, notamment leur compréhension du système stellaire de Sirius bien avant sa découverte par les astronomes occidentaux.",Rectangular,Small,Beak-like,Closed,Absent,Elaborate,Vibrant,Animal features,Large,Wood,Smooth,Geometric,
Nyamwezi ,Tanzanie,http://www.tribal-art-gallery.com/tribal-art-pictures/23207/0caf46b6-6389-4603-b178-9d0fe54bf635/Masque-Nyamezi-Art-Africain_hqth.jpg,Nyamwezi : Les Nyamwezi de Tanzanie sont célèbres pour leur rôle historique dans le commerce caravanier et leurs rituels de guérison.,Oval,Slit,Thin,Small closed,Tribal-specific,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
Igbo ,Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/28068/7ed98040-f2f0-4238-b5b0-2c59238a75fb/Masque-Igbo-Art-Africain_hqth.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
Igbo ,Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/27953/e0bc699d-64e2-4df3-baf6-9df14140e8b1/Masque-Ogbodo-Art-Africain_hqth.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
Igbo ,Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/28039/b8913081-712a-4ef6-9e64-0743ef186ddf/Masque-Igbo-Art-Africain_hqth.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
"Urhobo / Orubo",Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/27979/38854a00-1c02-4093-9d03-6a68326dbdc1/Cimier-Urhobo-Art-Africain_hqth.jpg,"Les Urhobo du delta du Niger au Nigeria sont connus pour leurs sculptures en bois polychromes représentant des divinités et des ancêtres, utilisées dans leurs rituels traditionnels.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Ekpo ,Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/28033/bee77e65-54de-4171-8ff6-6ed2e067fd8c/Masque-Idiok-Art-Africain_hqth.jpg,La société secrète Ekpo du peuple Ibibio au Nigeria utilise des représentations masquées pour maintenir l'ordre social et commémorer les ancêtres.,Asymmetrical,Protruding,Wide,Grimacing,Absent,Absent,Black and white,Symbolic objects,Medium,Wood,Rough,Absent,
Igbo ,Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/28003/f43584e9-ca89-492f-a223-9f1106dbc632/Masque-Igbo-Art-Africain_hqth.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
"Tsogho / Mitsogho",Gabon,http://www.tribal-art-gallery.com/tribal-art-pictures/28062/ea7f6f2c-a740-41cc-a50e-78b5a5c02f58/Masque-Sogho-Art-Africain_hqth.jpg,"Les Tsogho du Gabon sont réputés pour leur société initiatique Bwiti, qui utilise l'iboga, une plante hallucinogène, dans ses rituels spirituels de guérison et de divination.",Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Geometric,
"Bwa / Bobo Bwa",Burkina Faso,https://www.tribal-art-gallery.com/tribal-art-pictures/23765/633ed796-eefb-4c08-9cb0-3b7e17c6f3bb/Masque-Bobo-Art-Africain_hqth.jpg,"Les Bwa du Burkina Faso et du Mali sont célèbres pour leurs masques en bois ornés de motifs géométriques noirs et blancs, utilisés dans les cérémonies agricoles et d'initiation.",Rectangular,Small,Absent,Absent,Geometric,Elaborate,Vibrant,Animal features,Large,Wood,Rough,Geometric,
Hausa calao ,Nigeria,https://www.tribal-art-gallery.com/tribal-art-pictures/28060/81cb8832-1736-46ec-a4ec-db4b3176e2dc/Calao-Hausa-Art-Africain_hqth.jpg,"Le peuple Hausa, largement répandu en Afrique de l'Ouest, a développé une riche tradition littéraire écrite en ajami (alphabet arabe adapté) depuis le 17ème siècle.",Elongated,Slit,Beak-like,Absent,Absent,Elaborate,Vibrant,Animal features,Large,Metal,Smooth,Geometric,
"Idjo / Ijaw",Nigeria,https://www.tribal-art-gallery.com/tribal-art-pictures/27974/bcaa30d2-b0c4-4c68-a4a4-45fbbc92c326/Masque-Ijo-Art-Africain_hqth.jpg,"Les Ijaw du delta du Niger au Nigeria sont connus pour leurs masques aquatiques spectaculaires, représentant des esprits de l'eau lors de festivals annuels.",Oval,Large,Wide,Open,Absent,Absent,Natural wood,Animal features,Medium,Wood,Smooth,Absent,
"Bwa / Bobo Bwa",Burkina Faso,https://www.tribal-art-gallery.com/tribal-art-pictures/22303/347ef629-6a35-42b5-ac13-a673a0da1071/Masque-Bobo-Art-Africain_hqth.jpg,"Les Bwa du Burkina Faso et du Mali sont célèbres pour leurs masques en bois ornés de motifs géométriques noirs et blancs, utilisés dans les cérémonies agricoles et d'initiation.",Rectangular,Small,Absent,Absent,Geometric,Elaborate,Vibrant,Animal features,Large,Wood,Rough,Geometric,
Itsoko ,Nigeria,https://www.tribal-art-gallery.com/tribal-art-pictures/27968/0a7c33b8-6485-439d-905f-45e256f4f06e/Masque-Itsoko-Art-Africain_hqth.jpg,Les Itsoko du Nigeria sont reconnus pour leur habileté dans la médecine traditionnelle et leurs pratiques de divination liées aux ancêtres.,Oval,Slit,Thin,Small closed,Tribal-specific,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
"Dan / Yacouba",Cote d'Ivoire,https://www.tribal-art-gallery.com/tribal-art-pictures/27750/11d224a8-fbac-4d55-a498-003778420120/Masque-Bassa-Art-Africain_hqth.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
"Idjo / Ijaw",Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/27877/e54f5ce7-1ed5-46fe-b743-9c827a994b2c/Masque-Ijo-Art-Africain_hqth.jpg,"Les Ijaw du delta du Niger au Nigeria sont connus pour leurs masques aquatiques spectaculaires, représentant des esprits de l'eau lors de festivals annuels.",Oval,Large,Wide,Open,Absent,Absent,Natural wood,Animal features,Medium,Wood,Smooth,Absent,
Kwele/Bakwele,Gabon,http://www.tribal-art-gallery.com/tribal-art-pictures/28024/6533edf5-9552-4114-937f-c8c5ab7cb2eb/Cimier-Kwele-Art-Africain_hqth.jpg,"Les Kwele du Gabon et du Congo sont connus pour leurs masques rituels aux yeux en forme de cœur, utilisés dans les cérémonies de purification du village.",Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,None,Medium,Wood,Smooth,Geometric,
Baoule,Cote d'Ivoire,http://www.tribal-art-gallery.com/tribal-art-pictures/27955/81595447-9c47-4a43-8996-cd7c5f72632d/Masque-Baoule-Art-Africain_hqth.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
"Bwa / Bobo Bwa",Burkina Faso,http://www.tribal-art-gallery.com/tribal-art-pictures/27944/45ec6953-0d8d-4e71-81ca-ca2286a2834f/Masque-Bwa-Art-Africain_hqth.jpg,"Les Bwa du Burkina Faso et du Mali sont célèbres pour leurs masques en bois ornés de motifs géométriques noirs et blancs, utilisés dans les cérémonies agricoles et d'initiation.",Rectangular,Small,Absent,Absent,Geometric,Elaborate,Vibrant,Animal features,Large,Wood,Rough,Geometric,
Igala ,Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/27971/aa865c0c-f636-41f7-8fa4-0dbe9932bddf/Masque-Igala-Art-Africain_hqth.jpg,"Le peuple Igala du Nigeria est connu pour sa monarchie traditionnelle, l'Attah Igala étant l'un des plus anciens royaumes continus d'Afrique.",Oval,Large,Wide,Open,Linear,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Smooth,Linear,
Itsoko ,Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/27958/9c9f2c03-f6cf-4265-b121-79238e6d6b5f/Masque-Urhobo-Art-Africain_hqth.jpg,Les Itsoko du Nigeria sont reconnus pour leur habileté dans la médecine traditionnelle et leurs pratiques de divination liées aux ancêtres.,Oval,Slit,Thin,Small closed,Tribal-specific,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
Igala ,Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/27980/b878d589-8ab2-44f5-a18c-d7c3a0c4321f/Masque-Igala-Art-Africain_hqth.jpg,"Le peuple Igala du Nigeria est connu pour sa monarchie traditionnelle, l'Attah Igala étant l'un des plus anciens royaumes continus d'Afrique.",Oval,Large,Wide,Open,Linear,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Smooth,Linear,
Igbo ,Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/27982/7be011dc-4059-462d-b919-530fca0cd893/Masque-Igbo-Art-Africain_hqth.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
"Urhobo / Orubo",Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/27938/265afb19-8641-4c6f-bb09-efee4d10ec26/Masque-Urhobo-Art-Africain_hqth.jpg,"Les Urhobo du delta du Niger au Nigeria sont connus pour leurs sculptures en bois polychromes représentant des divinités et des ancêtres, utilisées dans leurs rituels traditionnels.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Mossi ,Burkina Faso,http://www.tribal-art-gallery.com/tribal-art-pictures/27925/c4634f9b-4d22-4dda-b1c3-15db1545e985/Masque-Mossi-Art-Africain_hqth.jpg,"Les Mossi du Burkina Faso maintiennent une structure sociale hiérarchique complexe, avec le Mogho Naba comme chef suprême traditionnel.",Rectangular,Small,Absent,Absent,Geometric,Elaborate,Vibrant,Symbolic objects,Large,Wood,Rough,Geometric,Rectangular
Markha ,Niger,http://www.tribal-art-gallery.com/tribal-art-pictures/27941/d517cedb-76cd-4b7f-b706-92b6aa593628/Masque-Markha-Art-Africain_hqth.jpg,"Les Markha du Mali sont réputés pour leur architecture en terre crue, notamment les façades décorées de leurs maisons.",Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Earth tones,None,Medium,Wood,Rough,Linear,
Igbo ,Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/27893/48dca1be-9bac-418e-8a65-6b7c80acd77d/Masque-Afikpo-Art-Africain_hqth.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
"Idjo / Ijaw",Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/27883/ee8e4231-af06-4386-85dd-95805c125826/Masque-Igo-Art-Africain_hqth.jpg,"Les Ijaw du delta du Niger au Nigeria sont connus pour leurs masques aquatiques spectaculaires, représentant des esprits de l'eau lors de festivals annuels.",Oval,Large,Wide,Open,Absent,Absent,Natural wood,Animal features,Medium,Wood,Smooth,Absent,
Ogoni / Ogboni,Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/27866/0d39ceff-fe19-4854-9ec5-d27697b2dba2/Masque-Ogoni-Art-Africain_hqth.jpg,"Les Ogoni du Nigeria sont connus pour leur lutte contre l'exploitation pétrolière dans leur région, menée par l'activiste Ken Saro-Wiwa dans les années 1990.",Round,Large,Wide,Open,Tribal-specific,Absent,Vibrant,None,Medium,Wood,Smooth,Circular,
Makua ,Mozambique,http://www.tribal-art-gallery.com/tribal-art-pictures/27827/7b557600-9ebc-4ba5-800d-d36a77e4a07f/Masque-Makua-Art-Africain_hqth.jpg,Les Makua du Mozambique et de Tanzanie sont reconnus pour leurs tatouages faciaux élaborés et leurs cérémonies d'initiation complexes.,Oval,Slit,Thin,Small closed,Raised,Absent,Natural wood,None,Medium,Wood,Smooth,Absent,
Yoruba,Nigeria,https://www.tribal-art-gallery.com/tribal-art-pictures/23374/e1b11c9d-627b-4e44-a5a2-da2b4e113e02/Masque-Gelede-Art-Africain_hqth.jpg,"Le peuple Yoruba d'Afrique de l'Ouest possède un riche panthéon de divinités appelées Orishas, la divination Ifa étant reconnue par l'UNESCO comme un chef-d'œuvre du patrimoine oral et immatériel de l'humanité.",Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear,
Mossi ,Burkina Faso,https://www.tribal-art-gallery.com/tribal-art-pictures/24846/c8e1a802-0bc0-4f6b-90be-1850e8e5a6bf/Masque-Mossi-Art-Africain_hqth.jpg,"Les Mossi du Burkina Faso maintiennent une structure sociale hiérarchique complexe, avec le Mogho Naba comme chef suprême traditionnel.",Rectangular,Small,Absent,Absent,Geometric,Elaborate,Vibrant,Symbolic objects,Large,Wood,Rough,Geometric,Rectangular
Baga ,Guinee,https://www.tribal-art-gallery.com/tribal-art-pictures/27735/6bf3af3b-e48e-4cf5-ab46-b6444230b0b5/Masque-Baga-Art-Africain_hqth.jpg,"Le peuple Baga de Guinée est célèbre pour ses énormes coiffes en bois appelées Nimba, qui représentent la fertilité et sont utilisées dans les cérémonies agricoles.",Elongated,Small,Beak-like,Small closed,Absent,Elaborate,Vibrant,Animal features,Extra large,Wood,Smooth,Geometric,
Songola,RD Congo,https://www.tribal-art-gallery.com/tribal-art-pictures/23711/a325e021-2b49-4be2-a118-64d925d65723/Masque-Songola-Art-Africain_hqth.jpg,Les Songola de la République démocratique du Congo sont connus pour leur système de parenté matrilinéaire et leurs rituels liés à la chasse.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
Pove,Gabon,https://www.tribal-art-gallery.com/tribal-art-pictures/27776/4b8f90b9-5479-4078-882c-d0c33ded3840/Masque-Tsogho-Art-Africain_hqth.jpg,Les Pove du Gabon sont réputés pour leurs masques blancs utilisés dans les cérémonies funéraires et leurs rites initiatiques.,Oval,Large,Wide,Open,Geometric,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Geometric,
Baoule,Cote d'Ivoire,https://www.tribal-art-gallery.com/tribal-art-pictures/27745/2786a265-19fd-4c1a-b595-bd7974a1e7e9/Masque-Baoule-Art-Africain_hqth.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Ligbi ,Cote d'Ivoire,http://www.tribal-art-gallery.com/tribal-art-pictures/27737/10b62f8b-f0b9-428c-b021-6f4bda87a251/Masque-Ligbi-Art-Africain_hqth.jpg,Les Ligbi du Ghana et de Côte d'Ivoire sont connus pour leur habile tissage de tissus kente et leur rôle historique dans le commerce transsaharien.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
"Dan / Yacouba",Cote d'Ivoire,http://www.tribal-art-gallery.com/tribal-art-pictures/27718/0751a770-0e15-4aec-abdc-eb3d87ac9c02/Masque-Dan-Art-Africain_hqth.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Yoruba,Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/27681/f87c5a19-d343-4854-a52d-899834987477/Masque-Gelede-Art-Africain_hqth.jpg,"Le peuple Yoruba d'Afrique de l'Ouest possède un riche panthéon de divinités appelées Orishas, la divination Ifa étant reconnue par l'UNESCO comme un chef-d'œuvre du patrimoine oral et immatériel de l'humanité.",Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear,
Ligbi ,Cote d'Ivoire,http://www.tribal-art-gallery.com/tribal-art-pictures/27546/ab96e34d-2857-4e3b-a2ad-62b446873948/Masque-Ligbi-Art-Africain_hqth.jpg,Les Ligbi du Ghana et de Côte d'Ivoire sont connus pour leur habile tissage de tissus kente et leur rôle historique dans le commerce transsaharien.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
Bangwa ,Cameroun,http://www.tribal-art-gallery.com/tribal-art-pictures/27526/0853384c-e148-493c-8401-30e2ac8cdec1/Masque-Bangwa-Art-Africain_hqth.jpg,"Les Bangwa du Cameroun sont célèbres pour leurs sculptures expressives, notamment la statue de la ""Reine Bangwa"" devenue une icône de l'art africain.",Oval,Large,Wide,Open,Linear,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Linear,
Boki ,Mali,http://www.tribal-art-gallery.com/tribal-art-pictures/27548/1fa942de-ed04-41c3-9f42-a080ca639fd6/Masque-Boki-Art-Africain_hqth.jpg,"Les Boki du Nigeria sont connus pour leur festival annuel Borum, qui implique des danses masquées et des rituels de purification.",Heart-shaped,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,
"Kuba / Bakuba",RD Congo,http://www.tribal-art-gallery.com/tribal-art-pictures/27395/cd40eee0-90f0-4d82-88ab-79d6253aebce/Masque-Kuba-Art-Africain_hqth.jpg,"Le royaume Kuba, en République démocratique du Congo, est renommé pour ses textiles raffinés, ses sculptures en bois et son système complexe de titres royaux.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
"Dan / Yacouba",Cote d'Ivoire,http://www.tribal-art-gallery.com/tribal-art-pictures/27493/8eb9fce5-830c-4b6c-b594-0f28766a8555/Masque-Dan-Art-Africain_hqth.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Mumuye ,Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/22609/d069bb9d-4450-40a3-a339-927adfe4d121/Tete-Mumuye-Art-Africain_hqth.jpg,"Les Mumuye du Nigeria sont connus pour leurs statues anthropomorphes aux formes abstraites, utilisées dans les rituels de guérison et de divination.",Asymmetrical,Protruding,Wide,Grimacing,Absent,Absent,Black and white,Symbolic objects,Medium,Wood,Rough,Absent,
"Songye / Basongje",RD Congo,http://www.tribal-art-gallery.com/tribal-art-pictures/27247/6725e164-1c2b-4077-9e91-03e28f3a02af/Masque-Songye-Art-Africain_hqth.jpg,"Les Songye de la République démocratique du Congo sont célèbres pour leurs masques Kifwebe aux motifs géométriques, utilisés dans les cérémonies de la société secrète Bwadi Bwa Kifwebe.",Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear,
Ibibio ,Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/22382/6888c5c2-8003-486e-81a9-bc62feafe268/Masque-Ibibio-Art-Africain_hqth.jpg,Les Ibibio du Nigeria sont réputés pour leurs masques ekpo utilisés dans les cérémonies funéraires et pour maintenir l'ordre social.,Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Mossi ,Burkina Faso,http://www.tribal-art-gallery.com/tribal-art-pictures/27358/990aa73a-6635-421e-af7e-b70acd7caaec/Masque-Mossi-Art-Africain_hqth.jpg,"Les Mossi du Burkina Faso maintiennent une structure sociale hiérarchique complexe, avec le Mogho Naba comme chef suprême traditionnel.",Rectangular,Small,Absent,Absent,Geometric,Elaborate,Vibrant,Symbolic objects,Large,Wood,Rough,Geometric,Rectangular
Bambara / Bamana,Mali,http://www.tribal-art-gallery.com/tribal-art-pictures/27350/e6e5d3e7-7f77-4be2-83d9-8d65d55599b1/Masque-Bambara-Art-Africain_hqth.jpg,"Les Bambara, prédominants au Mali, sont connus pour leurs masques élaborés utilisés dans les cérémonies d'initiation et leur société N'tomo, qui enseigne aux jeunes garçons des valeurs morales à travers la danse et la musique.",Elongated,Slit,Thin,Absent,Geometric,Elaborate,Natural wood,Animal features,Large,Wood,Smooth,Geometric,
"Dan / Yacouba",Cote d'Ivoire,http://www.tribal-art-gallery.com/tribal-art-pictures/27286/4a717f3f-e9f7-4338-ac13-485fffec2f35/Masque-Dan-Art-Africain_hqth.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
